Channel,SingleCell_Channel,Bridge_Channel,TMT
126.1277,NA,BC1,126
127.1248,SC1,BC1,127N
127.1311,SC2,BC1,127C
128.1281,SC3,BC1,128N
128.1344,SC4,BC1,128C
129.1315,SC5,BC1,129N
129.1378,SC6,BC1,129C
130.1348,SC7,BC1,130N
130.1411,SC8,BC1,130C
131.1382,SC9,BC1,131N
131.1445,SC10,BC1,131C
132.1415,SC11,BC1,132N
132.1479,SC12,BC1,132C
133.1449,SC13,BC1,133N
133.1512,SC14,BC1,133C
134.1482,SC15,BC1,134N
127.1340,SC16,BC2,127D
128.1310,SC17,BC2,128ND
128.1374,SC18,BC2,128CD
129.1344,SC19,BC2,129ND
129.1407,SC20,BC2,129CD
130.1377,SC21,BC2,130ND
130.1441,SC22,BC2,130CD
131.1411,SC23,BC2,131ND
131.1474,SC24,BC2,131CD
132.1445,SC25,BC2,132ND
132.1508,SC26,BC2,132CD
133.1478,SC27,BC2,133ND
133.1541,SC28,BC2,133CD
134.1512,SC29,BC2,134ND
134.1575,SC30,BC2,134CD
135.1545,NA,BC2,135ND
