Channel,Type,Deuterated
126.1277,Bridge,No
127.1248,Single-cell,No
127.1311,Single-cell,No
127.1340,Single-cell,Yes
128.1281,Single-cell,No
128.1344,Single-cell,No
128.1310,Single-cell,Yes
128.1374,Single-cell,Yes
129.1315,Single-cell,No
129.1378,Single-cell,No
129.1344,Single-cell,Yes
129.1407,Single-cell,Yes
130.1348,Single-cell,No
130.1411,Single-cell,No
130.1377,Single-cell,Yes
130.1441,Single-cell,Yes
131.1382,Single-cell,No
131.1445,Single-cell,No
131.1411,Single-cell,Yes
131.1474,Single-cell,Yes
132.1415,Single-cell,No
132.1479,Single-cell,No
132.1445,Single-cell,Yes
132.1508,Single-cell,Yes
133.1449,Single-cell,No
133.1512,Single-cell,No
133.1478,Single-cell,Yes
133.1541,Single-cell,Yes
134.1482,Single-cell,No
134.1546,Blank,No
134.1512,Single-cell,Yes
134.1575,Single-cell,Yes
135.1516,Blank,No
135.1545,Bridge,Yes
135.1608,Blank,Yes
