File_Name,LC
60708_TMT32_PBMCs_Target4_A7,2
60708_TMT32_PBMCs_Target4_C3,2
60708_TMT32_PBMCs_Target4_C7,2
60708_TMT32_PBMCs_Target4_D1,2
60708_TMT32_PBMCs_Target3_A11,1
60708_TMT32_PBMCs_Target3_A7,1
60708_TMT32_PBMCs_Target3_A8,2
60708_TMT32_PBMCs_Target3_B11,1
60708_TMT32_PBMCs_Target3_B1,1
60708_TMT32_PBMCs_Target3_B2,2
60708_TMT32_PBMCs_Target3_B3,1
60708_TMT32_PBMCs_Target3_B5,1
60708_TMT32_PBMCs_Target3_B6,2
60708_TMT32_PBMCs_Target3_B7,1
60708_TMT32_PBMCs_Target3_B8,2
60708_TMT32_PBMCs_Target3_B9_rerun,1
60708_TMT32_PBMCs_Target3_C3,2
60708_TMT32_PBMCs_Target3_C4,1
60708_TMT32_PBMCs_Target3_D10,1
60708_TMT32_PBMCs_Target3_D12,1
60708_TMT32_PBMCs_Target3_D2,1
60708_TMT32_PBMCs_Target3_D4,1
60708_TMT32_PBMCs_Target3_D6,1
60708_TMT32_PBMCs_Target3_D8,1
60708_TMT32_PBMCs_Target4_A10,1
60708_TMT32_PBMCs_Target4_A2,1
60708_TMT32_PBMCs_Target4_A5,1
60708_TMT32_PBMCs_Target4_B10,1
60708_TMT32_PBMCs_Target4_B1,1
60708_TMT32_PBMCs_Target4_B4,1
60708_TMT32_PBMCs_Target4_B6,1
60708_TMT32_PBMCs_Target4_B7,2
60708_TMT32_PBMCs_Target4_B8,1
60708_TMT32_PBMCs_Target4_B9,2
60708_TMT32_PBMCs_Target4_C10,1
60708_TMT32_PBMCs_Target4_C11,2
60708_TMT32_PBMCs_Target4_C12,1
60708_TMT32_PBMCs_Target4_C2,1
60708_TMT32_PBMCs_Target4_C4,1
60708_TMT32_PBMCs_Target4_C6,1
60708_TMT32_PBMCs_Target4_C8,1
60708_TMT32_PBMCs_Target4_C9,2
60708_TMT32_PBMCs_Target3_B12,2
60708_TMT32_PBMCs_Target3_B4,2
60708_TMT32_PBMCs_Target3_D11,2
60708_TMT32_PBMCs_Target3_D3,2
60708_TMT32_PBMCs_Target3_D5,2
60708_TMT32_PBMCs_Target3_D7,2
60708_TMT32_PBMCs_Target3_D9,2
60708_TMT32_PBMCs_Target4_A12,2
60708_TMT32_PBMCs_Target4_A1,2
60708_TMT32_PBMCs_Target4_A9,2
60708_TMT32_PBMCs_Target4_B2,2
60708_TMT32_PBMCs_Target4_B5,2
60708_TMT32_PBMCs_Target3_D1,2
60708_TMT32_PBMCs_Target3_C2,1
60708_TMT32_PBMCs_Target4_A3,2
60708_TMT32_PBMCs_Target4_A8,1
60708_TMT32_PBMCs_Target4_C5,2
60708_TMT32_PBMCs_Target3_A12,2
60708_TMT32_PBMCs_Target4_D2_rerun,1
60708_TMT32_PBMCs_Target4_D3_rerun,2
60708_TMT32_PBMCs_Target4_D4_rerun,1
60708_TMT32_PBMCs_Target4_D5_rerun,2
60708_TMT32_PBMCs_Target4_D6_rerun,1
60708_TMT32_PBMCs_Target4_D7_rerun,2
60708_TMT32_PBMCs_Target4_D8_rerun,1
60708_TMT32_PBMCs_Target4_D9,2
60708_TMT32_PBMCs_Target4_D10,1
60708_TMT32_PBMCs_Target4_D11,2
60708_TMT32_PBMCs_Target4_D12,1
